id	status	price	genres	default_country_policy	countries
58096	FROZEN	0.33	0	ALLOW	
54604	FROZEN	1.01	0	ALLOW	
32615	NORMAL	6.69	99,100	ALLOW	
71427	NORMAL	0.76	52,88	ALLOW	
58293	FROZEN	5.33	0	ALLOW	
50260	NORMAL	0.33	0	ALLOW	
9843	NORMAL	5.91	0	ALLOW	
43949	NORMAL	1.10	0	ALLOW	
97482	NORMAL	8.32	51,52	ALLOW	
11053	NORMAL	1.75	0	ALLOW	
3920	NORMAL	3.60	52,58	ALLOW	
65025	NORMAL	0.77	0	ALLOW	
91131	NORMAL	9.72	0	ALLOW	
77245	NORMAL	6.32	61,100	ALLOW	
59194	NORMAL	0.42	59	ALLOW	
15205	FROZEN	2.76	0	ALLOW	
52785	NORMAL	2.63	51,52	ALLOW	
48027	NORMAL	6.13	59,60	ALLOW	
37451	NORMAL	1.53	52,58	ALLOW	
78109	NORMAL	7.50	0	ALLOW	
62877	FROZEN	5.65	0	ALLOW	
3736	FROZEN	2.95	0	ALLOW	
6889	NORMAL	6.62	59,60	ALLOW	
96554	NORMAL	6.08	0	ALLOW	
47765	NORMAL	6.78	0	ALLOW	
99060	NORMAL	8.64	59,60	ALLOW	
47110	NORMAL	7.86	0	ALLOW	
40064	NORMAL	0.85	59,60	ALLOW	
77598	FROZEN	8.01	0	ALLOW	
5203	NORMAL	6.63	63	ALLOW	
93438	NORMAL	3.00	0	ALLOW	
29906	NORMAL	3.71	64,72	ALLOW	
93627	NORMAL	7.70	0	ALLOW	
44262	NORMAL	1.09	52,64	ALLOW	
53673	NORMAL	3.76	59,60	ALLOW	
53470	NORMAL	1.29	59,60	ALLOW	
18285	NORMAL	7.89	51,52	ALLOW	
90062	NORMAL	2.75	51,90	ALLOW	
30946	NORMAL	9.42	0	ALLOW	
1056	NORMAL	4.66	0	ALLOW	
84637	NORMAL	6.65	0	ALLOW	
6269	NORMAL	8.20	59	ALLOW	
77396	NORMAL	4.14	51,55	ALLOW	
75035	FROZEN	0.60	0	ALLOW	
45751	NORMAL	1.62	0	ALLOW	
54790	FROZEN	2.33	0	ALLOW	
85178	NORMAL	2.17	0	ALLOW	
53871	NORMAL	1.00	59	ALLOW	
89065	NORMAL	9.01	59,60	ALLOW	
35329	NORMAL	2.14	59	ALLOW	
93629	NORMAL	9.12	51,58	ALLOW	
41635	NORMAL	6.34	0	ALLOW	
86028	NORMAL	4.31	0	ALLOW	
10406	NORMAL	3.83	0	ALLOW	
54442	FROZEN	8.76	59,60	ALLOW	
97413	NORMAL	9.88	0	ALLOW	
53064	NORMAL	4.69	59	ALLOW	
29231	NORMAL	3.91	99	ALLOW	
50289	NORMAL	4.42	52,75	ALLOW	
18399	NORMAL	8.94	0	ALLOW	
86362	NORMAL	0.54	59,81	ALLOW	
88532	NORMAL	9.47	51,61	ALLOW	
6595	NORMAL	1.23	59,60	ALLOW	
45483	NORMAL	0.95	59,60	ALLOW	
60036	NORMAL	3.08	81,84	ALLOW	
58786	NORMAL	2.53	52,88	ALLOW	
70995	NORMAL	0.25	52,88	ALLOW	
70806	NORMAL	2.56	51,82	ALLOW	
44856	NORMAL	7.85	62	ALLOW	
60217	FROZEN	7.95	61,79	ALLOW	
60527	NORMAL	8.72	59,60	ALLOW	
53001	NORMAL	1.64	59,88	ALLOW	
13087	FROZEN	9.37	64	ALLOW	
94559	NORMAL	5.00	59,60	ALLOW	
92716	FROZEN	0.92	52,93	ALLOW	
87736	FROZEN	3.62	59,60	ALLOW	
43866	FROZEN	0.49	52,75	ALLOW	
25747	NORMAL	8.05	67,68	ALLOW	
23426	FROZEN	2.85	51,73	ALLOW	
38717	NORMAL	5.51	61,101	ALLOW	
33125	NORMAL	1.00	68,88	ALLOW	
55553	NORMAL	2.70	59,60	ALLOW	
11748	NORMAL	0.03	64,71	ALLOW	
7430	FROZEN	3.29	64,72	ALLOW	
42213	NORMAL	4.14	59,82	ALLOW	
58635	NORMAL	9.97	61,68	ALLOW	
20167	NORMAL	1.95	72,74	ALLOW	
8670	NORMAL	1.00	51,52	ALLOW	
90206	NORMAL	6.23	52,88	ALLOW	
25550	NORMAL	2.52	52,58	ALLOW	
36847	NORMAL	8.37	53,63	ALLOW	
23325	FROZEN	2.57	61,68	ALLOW	
6291	NORMAL	4.27	59,60	ALLOW	
11989	NORMAL	3.83	58,92	ALLOW	
76154	NORMAL	2.57	52,88	ALLOW	
19868	NORMAL	0.82	51,55	ALLOW	
10676	NORMAL	8.66	64,71	ALLOW	
7818	NORMAL	3.26	51,52	ALLOW	
73352	NORMAL	4.18	61	ALLOW	
71691	NORMAL	1.54	51,58	ALLOW	
85150	NORMAL	3.47	60,70	ALLOW	
20479	NORMAL	7.33	62,74	ALLOW	
39931	NORMAL	9.17	51,64	ALLOW	
48638	FROZEN	4.34	52,88	ALLOW	
27715	NORMAL	4.38	61,99	ALLOW	
13875	NORMAL	0.55	51,61	ALLOW	
87125	NORMAL	8.28	55,64	ALLOW	
28053	NORMAL	6.23	72,75	ALLOW	
59641	NORMAL	5.71	51,64	ALLOW	
56078	NORMAL	6.79	51,58	ALLOW	
56906	NORMAL	5.63	59,60	ALLOW	
53098	NORMAL	8.15	61,100	ALLOW	
67846	NORMAL	0.88	51,64	ALLOW	
7023	FROZEN	5.89	52,75	ALLOW	
22134	NORMAL	8.35	51,58	ALLOW	
64329	NORMAL	9.71	52,56	ALLOW	
20681	NORMAL	7.82	52,56	ALLOW	
20814	NORMAL	8.72	52,85	ALLOW	
30496	FROZEN	4.38	62,65	ALLOW	
44203	NORMAL	2.25	58,88	ALLOW	
90987	NORMAL	9.32	58,70	ALLOW	
46354	NORMAL	7.97	51,58	ALLOW	
70504	NORMAL	0.11	52,58	ALLOW	
43649	NORMAL	5.91	52,56	ALLOW	
56740	NORMAL	1.04	52,58	ALLOW	
84704	NORMAL	1.14	52,94	ALLOW	
32049	NORMAL	1.81	61,97	ALLOW	
4820	NORMAL	1.95	52,88	ALLOW	
26630	NORMAL	4.19	51,88	ALLOW	
1925	NORMAL	7.04	52,64	ALLOW	
18877	NORMAL	4.61	51,74	ALLOW	
54798	FROZEN	7.73	61,74	ALLOW	
55605	FROZEN	7.98	61,74	ALLOW	
2096	NORMAL	6.72	59,60	ALLOW	
45840	NORMAL	0.74	51,61	ALLOW	
21289	NORMAL	8.04	51,56	ALLOW	
73719	NORMAL	7.07	61,67	ALLOW	
36809	NORMAL	5.38	61,100	ALLOW	
19888	NORMAL	4.32	52,66	ALLOW	
13251	NORMAL	3.02	51,74	ALLOW	
50521	NORMAL	2.90	74,77	ALLOW	
64611	FROZEN	2.00	61,74	ALLOW	
60494	NORMAL	3.57	61,101	ALLOW	
16907	FROZEN	0.16	61,74	ALLOW	
56817	NORMAL	3.50	51,88	ALLOW	
76734	NORMAL	9.54	59,74	ALLOW	
62607	NORMAL	2.35	61,101	ALLOW	
80736	NORMAL	4.76	52,58	ALLOW	
65768	NORMAL	5.62	52,58	ALLOW	
73891	NORMAL	9.70	58,71	ALLOW	
43150	NORMAL	2.09	58,71	ALLOW	
1818	NORMAL	1.10	61,68	ALLOW	
56121	NORMAL	4.59	52,90	ALLOW	
12991	NORMAL	2.58	59,84	ALLOW	
40766	NORMAL	2.35	51,61	ALLOW	
80294	NORMAL	4.39	51,56	ALLOW	
41769	FROZEN	1.85	61,74	ALLOW	
42357	NORMAL	3.59	54,61	ALLOW	
57699	NORMAL	2.27	61,68	ALLOW	
78726	NORMAL	1.80	0,62	ALLOW	
53920	NORMAL	7.52	58,72	ALLOW	
9338	NORMAL	6.97	64,100	ALLOW	
42587	NORMAL	8.58	59,88	ALLOW	
8775	NORMAL	9.28	61,81	ALLOW	
44789	NORMAL	5.47	52,58	ALLOW	
55178	NORMAL	7.66	58,72	ALLOW	
13424	NORMAL	5.21	59,99	ALLOW	
68913	NORMAL	9.91	59,60	ALLOW	
65067	NORMAL	1.45	97	ALLOW	
8588	TRASHED	1.20	74	ALLOW	
11064	TRASHED	8.53	74	ALLOW	
73735	NORMAL	8.48	61,81	ALLOW	
91321	NORMAL	0.40	52,63	ALLOW	
51655	NORMAL	4.14	51,52	ALLOW	
55373	NORMAL	7.57	57	ALLOW	
48004	NORMAL	6.67	59,60	ALLOW	
44043	NORMAL	7.99	0,59	ALLOW	
59590	NORMAL	5.97	51,52	ALLOW	
48509	NORMAL	2.70	52,58	ALLOW	
6676	NORMAL	2.72	60,82	ALLOW	
42229	NORMAL	2.53	51,52	ALLOW	
9227	NORMAL	7.29	59,60	ALLOW	
32783	NORMAL	7.58	59,60	ALLOW	
5925	NORMAL	9.81	51,52	ALLOW	
86193	NORMAL	7.84	59,60	ALLOW	
10309	NORMAL	7.85	77,101	ALLOW	
64188	NORMAL	8.88	59,82	ALLOW	
29597	NORMAL	7.65	64,72	ALLOW	
46717	NORMAL	4.61	55,64	ALLOW	
38290	NORMAL	2.28	59,60	ALLOW	
6895	NORMAL	5.00	64,72	ALLOW	
70524	NORMAL	2.44	61,99	ALLOW	
65711	NORMAL	7.67	51,71	ALLOW	
37693	NORMAL	1.37	51,82	ALLOW	
88898	NORMAL	0.59	51,52	ALLOW	
76789	NORMAL	1.55	61,101	ALLOW	
41224	NORMAL	9.27	59,60	ALLOW	
21054	NORMAL	1.12	52,58	ALLOW	
84482	NORMAL	6.02	52,58	ALLOW	
59290	NORMAL	0.49	52,74	ALLOW	
77952	NORMAL	3.84	51,52	ALLOW	
10053	NORMAL	2.48	72,83	ALLOW	
5277	NORMAL	1.86	64,71	ALLOW	
98849	NORMAL	1.29	0,100	ALLOW	
33303	NORMAL	8.23	59,84	ALLOW	
52614	NORMAL	0.11	64,100	ALLOW	
88420	NORMAL	6.71	51,52	ALLOW	
48641	NORMAL	3.77	64,100	ALLOW	
78650	NORMAL	2.14	54,64	ALLOW	
2642	NORMAL	9.16	54,100	ALLOW	
67712	NORMAL	3.21	54,64	ALLOW	
847	NORMAL	2.83	57,61	ALLOW	
25566	NORMAL	7.91	55,58	ALLOW	
67461	NORMAL	5.66	64,71	ALLOW	
1626	NORMAL	0.79	54,64	ALLOW	
75215	NORMAL	8.15	54,64	ALLOW	
37620	NORMAL	4.99	57,64	ALLOW	
12144	NORMAL	7.24	64,79	ALLOW	
10651	NORMAL	5.95	59,88	ALLOW	
91610	NORMAL	5.06	64,71	ALLOW	
59789	NORMAL	4.35	54,64	ALLOW	
59621	NORMAL	7.85	54,64	ALLOW	
45700	NORMAL	0.36	64,100	ALLOW	
8636	NORMAL	8.85	54,64	ALLOW	
49520	NORMAL	0.39	64,100	ALLOW	
23004	NORMAL	6.91	99,100	ALLOW	
45526	NORMAL	4.61	59,82	ALLOW	
82548	NORMAL	8.62	52,58	ALLOW	
27673	NORMAL	2.96	0,64	ALLOW	
38056	NORMAL	8.06	52,53	ALLOW	
5015	NORMAL	6.02	59,60	ALLOW	
75274	NORMAL	6.93	58,64	ALLOW	
90955	NORMAL	4.57	59,60	ALLOW	
5296	NORMAL	6.05	64,100	ALLOW	
92988	NORMAL	0.77	0,82	ALLOW	
9844	NORMAL	8.83	56,64	ALLOW	
96264	NORMAL	1.66	64,71	ALLOW	
50905	NORMAL	3.66	54,64	ALLOW	
11949	NORMAL	1.69	64,71	ALLOW	
80289	NORMAL	6.46	54,64	ALLOW	
91672	NORMAL	7.43	64,71	ALLOW	
44486	NORMAL	0.06	64,71	ALLOW	
40300	NORMAL	8.27	64,100	ALLOW	
16630	NORMAL	1.74	64,100	ALLOW	
75635	NORMAL	9.84	64,100	ALLOW	
62283	NORMAL	1.51	51,66	ALLOW	
26233	NORMAL	1.53	64,100	ALLOW	
84906	NORMAL	0.36	64,100	ALLOW	
94539	NORMAL	3.18	64,100	ALLOW	
15347	NORMAL	5.46	64,100	ALLOW	
60895	NORMAL	0.34	64,100	ALLOW	
36372	NORMAL	1.86	64,71	ALLOW	
60039	NORMAL	6.84	64,100	ALLOW	
36293	NORMAL	1.93	64,100	ALLOW	
22445	NORMAL	9.49	64,100	ALLOW	
97208	NORMAL	1.94	58,64	ALLOW	
61866	NORMAL	5.02	51,90	ALLOW	
64517	NORMAL	4.41	77,107	ALLOW	
82741	FROZEN	6.25	64,79	ALLOW	
50379	FROZEN	5.17	61,74	ALLOW	
28407	NORMAL	2.18	52,88	ALLOW	
69018	NORMAL	0.12	58,72	ALLOW	
46598	UNRELEASED	9.46	59,82	ALLOW	
24620	NORMAL	2.00	59,61	ALLOW	
92177	NORMAL	5.64	103	ALLOW	
430	NORMAL	6.17	53,86	ALLOW	
49912	NORMAL	4.49	82,84	ALLOW	
72047	NORMAL	3.76	0,55	ALLOW	
50198	FROZEN	1.00	51,71	ALLOW	
69452	NORMAL	3.64	59,64	ALLOW	
77430	NORMAL	8.31	59,64	ALLOW	
85528	NORMAL	3.54	58,84	ALLOW	
70340	NORMAL	5.87	58,84	ALLOW	
7515	NORMAL	6.53	59,64	ALLOW	
73521	NORMAL	0.93	64,84	ALLOW	
79686	NORMAL	8.56	59,64	ALLOW	
83828	NORMAL	4.58	64,84	ALLOW	
77387	NORMAL	6.26	64,100	ALLOW	
10048	NORMAL	3.66	61,100	ALLOW	
35297	NORMAL	2.01	59,64	ALLOW	
21428	NORMAL	9.76	52	ALLOW	
66316	NORMAL	5.14	52,88	ALLOW	
44275	NORMAL	9.74	64,71	ALLOW	
85839	FROZEN	8.19	59,60	ALLOW	
96202	NORMAL	6.75	59,60	ALLOW	
12418	NORMAL	4.41	84,103	ALLOW	
46715	FROZEN	0.34	58,82	ALLOW	
7099	NORMAL	5.33	61,102	ALLOW	
9299	NORMAL	3.23	59	ALLOW	
86165	FROZEN	3.15	59	ALLOW	
3933	FROZEN	7.01	61	ALLOW	
55963	NORMAL	4.32	59,103	ALLOW	
56858	FROZEN	9.67	59	ALLOW	
73194	NORMAL	4.70	59,60	ALLOW	
4534	NORMAL	2.07	52,95	ALLOW	
92930	NORMAL	0.38	59,60	ALLOW	
45935	FROZEN	5.80	68,74	ALLOW	
82047	NORMAL	5.99	59,82	ALLOW	
97909	NORMAL	0.14	105	ALLOW	
14375	FROZEN	6.64	67,91	ALLOW	
85244	NORMAL	4.53	59,60	ALLOW	
31063	NORMAL	3.81	59,88	ALLOW	
74798	NORMAL	7.11	52,53	ALLOW	
15208	NORMAL	5.37	59,88	ALLOW	
2539	NORMAL	7.47	0,59	ALLOW	
52307	TRASHED	8.73	54,55	ALLOW	
56310	FROZEN	7.79	61,68	ALLOW	
356	NORMAL	3.01	51,52	ALLOW	
54646	FROZEN	5.73	55,72	ALLOW	
87245	NORMAL	4.29	59,60	ALLOW	
93778	NORMAL	9.65	0,61	ALLOW	
64344	TRASHED	9.68	74,79	ALLOW	
38412	NORMAL	5.32	51,88	ALLOW	
38826	NORMAL	3.86	51,88	ALLOW	
75662	NORMAL	8.45	59,60	ALLOW	
